SystemId,Metervalue,MeterDate
68938,22528,2021-06-10T23:59:59
24162,39195,2021-06-10T23:59:59
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
