SystemId,metervalue,meterDate,solarlog s.no,last transfer date,Device type,may -2021 data,jun- 2021 data,jun - may diff,july- jun diff,capacity,specific yield,Reporting status
6849,33642,2021-07-29T06:02:54,1497121213,01/07/2021 10:11,Meter,32616,33236,620,406,4.5,3.222222222,TRUE
36702,71890,2021-07-29T06:02:54,2033990334,01/07/2021 10:11,Meter,69542,70949,1407,941,9.4905,3.54113512,TRUE
37804,44001,2021-07-29T06:02:55,960247152,01/07/2021 10:11,Meter,42933,43578,645,423,6.048,2.49787415,TRUE
37117,91034,2021-07-29T06:02:55,691810739,01/07/2021 10:11,Meter,88092,89818,1726,1216,11.07,3.92308685,TRUE
23482,64647,2021-07-29T06:02:55,1765551698,01/07/2021 10:11,Meter,62764,63920,1156,727,8.384,3.096885224,TRUE
29025,54406,2021-07-29T06:02:55,960248140,01/07/2021 10:11,Meter,52479,53646,1167,760,8.262,3.285264723,TRUE
38888,39987,2021-07-29T06:02:56,1228680354,01/07/2021 10:11,Meter,38533,39401,868,586,5.04,4.152494331,TRUE
23877,34612,2021-07-29T06:02:56,1228671709,01/07/2021 10:11,Meter,33314,34073,759,539,4.4145,4.360629743,TRUE
85036,58427,2021-07-29T06:02:56,1228842880,01/07/2021 10:11,Meter,55179,57172,1993,1255,12.965,3.457109801,TRUE
24162,40641,2021-07-29T06:02:56,691809998,01/07/2021 10:11,Meter,39195,40036,841,605,4.7088,4.58867288,TRUE
27373,78332,2021-07-29T06:02:57,960241965,01/07/2021 10:11,Meter,75566,77187,1621,1145,9.6255,4.248387839,TRUE
22616,40105,2021-07-29T06:02:57,1497116767,01/07/2021 10:11,Meter,38633,39490,857,615,5.003,4.390223009,TRUE
40105,46906,2021-07-29T06:02:59,691807034,01/07/2021 10:11,Meter,45316,46272,956,634,6.075,3.727219283,TRUE
63040,88134,2021-07-29T06:03:00,960351880,01/07/2021 10:11,Meter,84901,86795,1894,1339,14.175,3.373645755,TRUE
